"number_wasps"	"w"	"total_alive"	"total_usurp"	"total_nested"
50	1	7	0	7
50	2	8	0	8
50	3	8	0	8
50	4	8	0	8
50	5	7	0	7
50	6	9	1	9
50	7	8	0	8
50	8	9	1	9
50	9	8	1	8
50	10	7	0	7
50	11	7	0	7
50	12	9	1	9
50	13	9	0	9
50	14	7	1	7
50	15	9	0	9
50	16	8	0	8
50	17	8	0	8
50	18	9	1	9
50	19	7	0	7
50	20	7	1	7
50	21	8	2	8
50	22	9	0	9
50	23	8	1	8
50	24	8	0	8
50	25	9	0	9
50	26	7	0	7
50	27	8	3	8
50	28	8	1	8
50	29	8	1	8
50	30	8	3	8
50	31	9	1	9
50	32	8	1	8
50	33	8	2	8
50	34	8	1	8
50	35	7	0	7
50	36	7	1	7
50	37	8	1	8
50	38	9	3	9
50	39	7	1	7
50	40	5	1	5
50	41	8	3	8
50	42	7	2	7
50	43	7	1	7
50	44	8	3	8
50	45	7	5	7
50	46	8	2	8
50	47	8	2	8
50	48	7	1	7
50	49	8	2	8
50	50	8	1	8
60	1	9	0	9
60	2	8	0	8
60	3	8	1	8
60	4	10	0	10
60	5	8	0	8
60	6	8	0	8
60	7	8	0	8
60	8	8	0	8
60	9	8	1	8
60	10	8	2	8
60	11	9	0	9
60	12	9	1	9
60	13	8	1	8
60	14	9	1	9
60	15	8	0	8
60	16	8	0	8
60	17	10	0	10
60	18	9	1	9
60	19	9	1	9
60	20	8	0	8
60	21	9	2	9
60	22	10	1	10
60	23	7	1	7
60	24	8	1	8
60	25	9	3	9
60	26	9	0	9
60	27	7	1	7
60	28	8	0	8
60	29	7	1	7
60	30	9	1	9
60	31	9	2	9
60	32	8	2	8
60	33	9	3	9
60	34	9	1	9
60	35	7	2	7
60	36	9	1	9
60	37	8	1	8
60	38	9	2	9
60	39	9	0	9
60	40	8	2	8
60	41	8	1	8
60	42	9	2	9
60	43	8	3	8
60	44	7	3	7
60	45	8	3	8
60	46	7	2	7
60	47	7	0	7
60	48	7	2	7
60	49	8	3	8
60	50	8	1	8
60	51	8	3	8
60	52	8	3	8
60	53	10	0	10
60	54	8	4	8
60	55	10	5	10
60	56	10	3	10
60	57	8	1	8
60	58	8	2	8
60	59	8	1	8
60	60	8	1	8
70	1	7	0	7
70	2	7	0	7
70	3	5	0	5
70	4	5	0	5
70	5	6	0	6
70	6	5	0	5
70	7	7	0	7
70	8	8	0	8
70	9	7	1	7
70	10	6	0	6
70	11	7	0	7
70	12	6	0	6
70	13	5	0	5
70	14	6	1	6
70	15	4	0	4
70	16	5	0	5
70	17	6	1	6
