"number_wasps"	"w"	"total_alive"	"total_usurp"	"total_nested"
50	1	8	0	8
50	2	10	0	10
50	3	9	0	9
50	4	9	0	9
50	5	8	1	8
50	6	7	1	7
50	7	10	0	10
50	8	8	0	8
50	9	9	1	9
50	10	8	0	8
50	11	8	3	8
50	12	8	0	8
50	13	8	0	8
50	14	8	0	8
50	15	10	0	10
50	16	8	1	8
50	17	8	1	8
50	18	8	1	8
50	19	8	0	8
50	20	8	1	8
50	21	9	3	9
50	22	8	2	8
50	23	8	1	8
50	24	8	0	8
50	25	8	0	8
50	26	8	4	8
50	27	6	3	6
50	28	8	4	8
50	29	6	2	6
50	30	8	2	8
50	31	9	2	9
50	32	8	1	8
50	33	9	6	9
50	34	8	2	8
50	35	7	4	7
50	36	8	1	8
50	37	8	2	8
50	38	8	0	8
50	39	8	4	8
50	40	9	4	9
50	41	8	3	8
50	42	6	0	6
50	43	7	2	7
50	44	7	3	7
50	45	9	4	9
50	46	8	3	8
50	47	8	2	8
50	48	7	2	7
50	49	8	3	8
50	50	9	1	9
60	1	3	0	3
60	2	2	0	2
60	3	4	0	4
60	4	2	0	2
60	5	3	0	3
60	6	2	0	2
60	7	2	0	2
60	8	2	0	2
60	9	4	0	4
60	10	3	0	3
60	11	4	0	4
60	12	2	0	2
60	13	3	0	3
60	14	3	0	3
60	15	3	0	3
60	16	3	0	3
60	17	2	0	2
60	18	3	0	3
60	19	3	0	3
60	20	2	0	2
60	21	2	0	2
60	22	4	0	4
60	23	2	0	2
60	24	3	0	3
60	25	3	0	3
60	26	3	0	3
60	27	4	0	4
60	28	2	0	2
60	29	2	0	2
60	30	3	1	3
60	31	3	1	3
60	32	3	0	3
60	33	2	0	2
60	34	5	1	5
60	35	3	0	3
60	36	3	0	3
60	37	3	0	3
60	38	4	2	4
60	39	4	1	4
60	40	3	1	3
60	41	3	0	3
60	42	2	1	2
60	43	2	0	2
60	44	3	0	3
60	45	4	0	4
60	46	4	3	4
60	47	3	1	3
60	48	3	0	3
60	49	4	1	4
60	50	2	1	2
60	51	3	1	3
60	52	3	2	3
60	53	3	1	3
60	54	2	0	2
60	55	3	0	3
60	56	2	0	2
60	57	3	1	3
60	58	2	0	2
60	59	3	1	3
60	60	4	1	4
70	1	7	0	7
70	2	8	0	8
70	3	8	0	8
70	4	8	1	8
70	5	8	1	8
70	6	8	0	8
70	7	7	1	7
70	8	7	0	7
70	9	7	1	7
70	10	7	0	7
70	11	8	2	8
70	12	8	0	8
70	13	8	0	8
70	14	7	1	7
70	15	8	2	8
70	16	6	1	6
70	17	7	1	7
70	18	7	1	7
70	19	7	1	7
70	20	8	1	8
70	21	7	0	7
70	22	8	1	8
70	23	7	1	7
70	24	7	5	7
70	25	7	2	7
70	26	7	1	7
70	27	7	1	7
70	28	8	3	8
70	29	8	2	8
70	30	6	0	6
70	31	8	1	8
70	32	8	2	8
70	33	8	2	8
70	34	7	2	7
70	35	7	0	7
70	36	7	2	7
70	37	7	1	7
70	38	8	2	8
70	39	8	0	8
70	40	8	2	8
70	41	8	1	8
70	42	7	2	7
70	43	8	3	8
70	44	7	3	7
70	45	8	3	8
70	46	7	3	7
70	47	6	1	6
70	48	7	0	7
70	49	7	5	7
70	50	8	3	8
70	51	7	0	7
70	52	8	0	8
70	53	7	3	7
70	54	8	4	8
70	55	7	0	7
70	56	8	2	8
70	57	7	2	7
70	58	8	4	8
70	59	7	1	7
70	60	8	1	8
70	61	8	3	8
70	62	7	2	7
70	63	8	5	8
70	64	8	2	8
70	65	6	3	6
70	66	7	2	7
70	67	8	4	8
70	68	6	0	6
70	69	7	3	7
70	70	7	2	7
80	1	7	0	7
80	2	7	0	7
80	3	8	0	8
80	4	8	0	8
80	5	7	0	7
80	6	8	0	8
80	7	6	0	6
80	8	8	1	8
80	9	6	0	6
80	10	6	2	6
80	11	5	0	5
80	12	6	0	6
80	13	8	0	8
80	14	6	0	6
80	15	8	2	8
80	16	6	0	6
80	17	7	2	7
80	18	6	0	6
80	19	7	0	7
80	20	7	0	7
80	21	8	0	8
80	22	8	1	8
80	23	6	2	6
80	24	7	0	7
80	25	6	1	6
80	26	8	5	8
80	27	8	1	8
80	28	7	4	7
80	29	8	4	8
80	30	6	0	6
80	31	7	0	7
80	32	8	0	8
80	33	7	2	7
80	34	5	1	5
80	35	5	2	5
80	36	7	2	7
80	37	6	3	6
80	38	8	2	8
80	39	8	2	8
80	40	6	1	6
80	41	8	3	8
80	42	8	0	8
80	43	6	2	6
80	44	7	2	7
80	45	7	0	7
80	46	8	3	8
80	47	6	3	6
80	48	7	3	7
80	49	8	4	8
80	50	7	1	7
80	51	7	3	7
80	52	6	1	6
80	53	7	3	7
80	54	7	2	7
80	55	6	1	6
80	56	9	3	9
80	57	6	1	6
80	58	7	3	7
80	59	5	1	5
80	60	8	3	8
80	61	5	3	5
80	62	5	1	5
80	63	5	1	5
80	64	7	2	7
80	65	7	2	7
80	66	7	3	7
80	67	5	2	5
80	68	8	3	8
80	69	6	1	6
80	70	6	0	6
80	71	9	2	9
80	72	6	3	6
80	73	6	1	6
80	74	6	1	6
80	75	7	3	7
80	76	6	2	6
80	77	6	1	6
80	78	7	3	7
80	79	4	2	4
80	80	7	2	7
90	1	8	0	8
90	2	7	0	7
90	3	6	0	6
90	4	7	0	7
90	5	6	1	6
90	6	6	0	6
90	7	7	0	7
90	8	8	0	8
90	9	6	0	6
90	10	6	1	6
90	11	7	1	7
90	12	4	1	4
90	13	8	1	8
90	14	6	0	6
90	15	5	0	5
90	16	6	0	6
90	17	8	1	8
90	18	7	0	7
90	19	5	2	5
90	20	6	1	6
90	21	5	2	5
90	22	7	1	7
90	23	5	0	5
90	24	7	1	7
90	25	6	1	6
90	26	6	1	6
90	27	5	0	5
90	28	6	1	6
90	29	7	2	7
90	30	5	1	5
90	31	6	1	6
90	32	6	1	6
90	33	4	3	4
90	34	7	1	7
90	35	7	2	7
90	36	7	1	7
90	37	6	1	6
90	38	6	1	6
90	39	6	1	6
90	40	6	2	6
90	41	5	2	5
90	42	7	2	7
90	43	7	0	7
90	44	6	2	6
90	45	6	2	6
90	46	7	2	7
90	47	6	3	6
90	48	6	2	6
90	49	4	1	4
90	50	5	2	5
90	51	6	0	6
90	52	8	3	8
90	53	6	1	6
90	54	5	4	5
90	55	6	0	6
90	56	5	1	5
90	57	7	0	7
90	58	5	3	5
90	59	5	1	5
90	60	5	0	5
90	61	5	3	5
90	62	6	1	6
90	63	7	2	7
90	64	5	1	5
90	65	4	0	4
90	66	7	1	7
90	67	6	1	6
90	68	6	0	6
90	69	5	1	5
90	70	6	0	6
90	71	4	2	4
90	72	5	2	5
90	73	5	1	5
90	74	8	2	8
90	75	4	1	4
90	76	5	2	5
90	77	7	3	7
90	78	7	2	7
90	79	6	2	6
90	80	8	2	8
90	81	6	3	6
90	82	6	2	6
90	83	5	1	5
90	84	8	3	8
90	85	7	3	7
90	86	6	6	6
90	87	6	4	6
90	88	4	1	4
90	89	5	1	5
